iter	Passed	Remaining
469	913	1030
470	915	1028
471	916	1025
472	918	1023
473	919	1020
474	921	1018
475	922	1015
476	924	1013
477	925	1010
478	927	1008
479	928	1005
480	929	1003
481	931	1001
482	933	998
483	934	996
484	935	993
485	937	991
486	938	989
487	940	986
488	941	984
489	943	981
490	944	979
491	946	977
492	947	974
493	948	972
494	950	969
495	951	967
496	953	964
497	955	962
498	956	960
499	959	959
500	960	956
501	962	954
502	963	952
503	965	949
504	966	947
505	967	945
506	969	942
507	971	940
508	972	938
509	973	935
510	975	933
511	977	931
512	978	929
513	980	926
514	981	924
515	983	922
516	984	920
517	986	917
518	987	915
519	989	913
520	990	910
521	992	908
522	993	906
523	995	904
524	996	901
525	998	899
526	1000	897
527	1001	895
528	1003	893
529	1004	890
530	1006	888
531	1007	886
532	1009	884
533	1010	881
534	1012	879
535	1013	877
536	1014	875
537	1016	872
538	1017	870
539	1019	868
540	1021	866
541	1022	864
542	1024	861
543	1025	859
544	1027	857
545	1028	855
546	1029	852
547	1031	850
548	1032	848
549	1034	846
550	1036	844
551	1037	842
552	1039	839
553	1040	837
554	1041	835
555	1043	833
556	1045	831
557	1046	829
558	1047	826
559	1049	824
560	1050	822
561	1052	820
562	1053	817
563	1055	815
564	1056	813
565	1058	811
566	1059	809
567	1061	806
568	1062	804
569	1064	802
570	1065	800
571	1067	798
572	1068	796
573	1070	794
574	1071	792
575	1073	789
576	1074	787
577	1076	785
578	1077	783
579	1078	781
580	1080	779
581	1081	776
582	1083	774
583	1084	772
584	1086	770
585	1088	768
586	1089	766
587	1090	764
588	1092	762
589	1093	760
590	1095	757
591	1096	755
592	1097	753
593	1099	751
594	1100	749
595	1101	746
596	1103	744
597	1104	742
598	1106	740
599	1108	738
600	1110	736
601	1111	734
602	1112	732
603	1114	730
604	1115	728
605	1116	726
606	1118	724
607	1119	721
608	1120	719
609	1122	717
610	1123	715
611	1125	713
612	1126	711
613	1127	708
614	1129	706
615	1131	705
616	1132	703
617	1134	701
618	1135	699
619	1137	696
620	1138	694
621	1139	692
622	1141	690
623	1142	688
624	1144	686
625	1145	684
626	1146	682
627	1148	680
628	1149	677
629	1150	675
630	1152	673
631	1154	672
632	1155	669
633	1156	667
634	1158	665
635	1159	663
636	1160	661
637	1162	659
638	1163	657
639	1165	655
640	1166	653
641	1168	651
642	1169	649
643	1171	647
644	1172	645
645	1173	643
646	1175	641
647	1176	639
648	1178	637
649	1179	635
650	1180	633
651	1182	631
652	1184	629
653	1185	627
654	1187	625
655	1188	623
656	1190	621
657	1191	619
658	1193	617
659	1194	615
660	1196	613
661	1197	611
662	1199	609
663	1200	607
664	1201	605
665	1203	603
666	1204	601
667	1205	599
668	1207	597
669	1208	595
670	1209	593
671	1211	591
672	1212	589
673	1214	587
674	1215	585
675	1216	583
676	1218	581
677	1220	579
678	1222	577
679	1223	575
680	1225	573
681	1226	571
682	1227	569
683	1229	567
684	1230	565
685	1232	563
686	1233	561
687	1234	560
688	1236	558
689	1237	556
690	1239	554
691	1240	552
692	1242	550
693	1243	548
694	1245	546
695	1247	544
696	1248	542
697	1250	540
698	1251	538
699	1252	536
700	1254	534
701	1255	533
702	1257	531
703	1258	529
704	1259	527
705	1260	525
706	1262	523
707	1264	521
708	1265	519
709	1266	517
710	1268	515
711	1269	513
712	1271	511
713	1272	509
714	1273	507
715	1275	505
716	1276	503
717	1278	502
718	1279	500
719	1281	498
720	1282	496
721	1283	494
722	1285	492
723	1287	490
724	1288	488
725	1289	486
726	1291	484
727	1292	482
728	1294	481
729	1295	479
730	1296	477
731	1298	475
732	1299	473
733	1301	471
734	1302	469
735	1304	467
736	1305	465
737	1307	464
738	1308	462
739	1309	460
740	1311	458
741	1312	456
742	1313	454
743	1315	452
744	1316	450
745	1318	448
746	1319	446
747	1320	444
748	1322	443
749	1323	441
750	1325	439
751	1326	437
752	1327	435
753	1329	433
754	1330	431
755	1332	430
756	1333	428
757	1335	426
758	1336	424
759	1337	422
760	1339	420
761	1340	418
762	1342	416
763	1343	415
764	1345	413
765	1347	411
766	1348	409
767	1350	407
768	1351	406
769	1353	404
770	1354	402
771	1356	400
772	1357	398
773	1359	396
774	1360	395
775	1362	393
776	1363	391
777	1365	389
778	1366	387
779	1368	385
780	1369	384
781	1371	382
782	1372	380
783	1374	378
784	1375	376
785	1377	374
786	1378	373
787	1380	371
788	1381	369
789	1383	367
790	1384	365
791	1386	364
792	1387	362
793	1389	360
794	1390	358
795	1391	356
796	1393	354
797	1394	353
798	1396	351
799	1398	349
800	1399	347
801	1400	345
802	1402	344
803	1403	342
804	1405	340
805	1406	338
806	1408	336
807	1409	334
808	1411	333
809	1412	331
810	1414	329
811	1415	327
812	1417	325
813	1418	324
814	1420	322
815	1421	320
816	1423	318
817	1424	316
818	1425	315
819	1427	313
820	1428	311
821	1430	309
822	1431	307
823	1433	306
824	1434	304
825	1436	302
826	1437	300
827	1439	298
828	1440	297
829	1442	295
830	1443	293
831	1445	291
832	1446	290
833	1448	288
834	1449	286
835	1451	284
836	1452	282
837	1454	281
838	1455	279
839	1457	277
840	1458	275
841	1460	273
842	1461	272
843	1463	270
844	1464	268
845	1466	266
846	1467	265
847	1468	263
848	1470	261
849	1471	259
850	1473	257
851	1474	256
852	1476	254
853	1477	252
854	1479	250
855	1480	249
856	1481	247
857	1483	245
858	1485	243
859	1486	241
860	1487	240
861	1489	238
862	1490	236
863	1492	234
864	1493	233
865	1495	231
866	1496	229
867	1498	227
868	1499	226
869	1501	224
870	1502	222
871	1503	220
872	1505	219
873	1507	217
874	1508	215
875	1510	213
876	1511	212
877	1513	210
878	1514	208
879	1515	206
880	1517	204
881	1518	203
882	1520	201
883	1521	199
884	1523	197
885	1524	196
886	1526	194
887	1527	192
888	1529	190
889	1531	189
890	1532	187
891	1534	185
892	1535	183
893	1537	182
894	1538	180
895	1540	178
896	1541	177
897	1543	175
898	1544	173
899	1546	171
900	1547	170
901	1549	168
902	1550	166
903	1552	164
904	1554	163
905	1555	161
906	1556	159
907	1558	157
908	1559	156
909	1561	154
910	1562	152
911	1564	150
912	1565	149
913	1567	147
914	1568	145
915	1570	144
916	1572	142
917	1573	140
918	1575	138
919	1576	137
920	1578	135
921	1579	133
922	1581	131
923	1582	130
924	1583	128
925	1585	126
926	1586	124
927	1588	123
928	1589	121
929	1591	119
930	1592	118
931	1594	116
932	1596	114
933	1597	112
934	1598	111
935	1600	109
936	1601	107
937	1603	105
938	1604	104
939	1606	102
940	1607	100
941	1608	99
942	1610	97
943	1611	95
944	1613	93
945	1615	92
946	1616	90
947	1618	88
948	1619	87
949	1621	85
950	1622	83
951	1624	81
952	1625	80
953	1627	78
954	1628	76
955	1630	75
956	1631	73
957	1633	71
958	1634	69
959	1636	68
960	1637	66
961	1639	64
962	1640	63
963	1642	61
964	1643	59
965	1644	57
966	1646	56
967	1648	54
968	1649	52
969	1651	51
970	1652	49
971	1653	47
972	1655	45
973	1656	44
974	1658	42
975	1659	40
976	1661	39
977	1662	37
978	1663	35
979	1665	33
980	1666	32
981	1668	30
982	1669	28
983	1671	27
984	1672	25
985	1674	23
986	1675	22
987	1677	20
988	1678	18
989	1679	16
990	1681	15
991	1682	13
992	1684	11
993	1685	10
994	1687	8
995	1688	6
996	1690	5
997	1691	3
998	1693	1
999	1694	0
